step,time,intersection_id,total_queue_length,average_waiting_time,north_queue,south_queue,east_queue,west_queue,current_phase,signal_state,green_duration,throughput
0,0,0,4,0.0,0,0,3,1,north_south,GREEN,30,4
0,0,1,4,0.0,0,0,0,4,north_south,GREEN,30,0
0,0,2,7,0.0,0,0,3,4,north_south,GREEN,30,2
0,0,3,6,0.0,0,0,2,4,north_south,GREEN,30,6
1,5,0,10,0.0,0,0,3,7,north_south,GREEN,30,9
1,5,1,5,0.0,0,0,0,5,north_south,GREEN,30,3
1,5,2,11,0.0,0,0,5,6,north_south,GREEN,30,5
1,5,3,8,0.0,0,0,3,5,north_south,GREEN,30,12
2,10,0,15,0.0,0,0,8,7,north_south,GREEN,30,11
2,10,1,6,0.0,0,0,1,5,north_south,GREEN,30,6
2,10,2,15,0.0,0,0,6,9,north_south,GREEN,30,12
2,10,3,13,0.0,0,0,5,8,north_south,GREEN,30,17
3,15,0,18,0.0,0,0,10,8,north_south,GREEN,30,18
3,15,1,7,0.0,0,0,2,5,north_south,GREEN,30,7
3,15,2,17,0.0,0,0,6,11,north_south,GREEN,30,17
3,15,3,16,0.0,0,0,7,9,north_south,GREEN,30,24
4,20,0,22,0.0,0,0,11,11,north_south,GREEN,30,22
4,20,1,9,0.0,0,0,4,5,north_south,GREEN,30,9
4,20,2,20,0.0,0,0,7,13,north_south,GREEN,30,27
4,20,3,19,0.0,0,0,9,10,north_south,GREEN,30,25
5,25,0,26,0.0,0,0,11,15,north_south,YELLOW,30,29
5,25,1,11,0.0,0,0,4,7,north_south,YELLOW,30,10
5,25,2,22,0.0,0,0,8,14,north_south,YELLOW,30,29
5,25,3,23,0.0,0,0,12,11,north_south,YELLOW,30,26
6,30,0,38,0.0,5,2,13,18,east_west,GREEN,30,29
6,30,1,15,0.0,2,0,4,9,east_west,GREEN,30,10
6,30,2,29,0.0,1,5,8,15,east_west,GREEN,30,29
6,30,3,30,0.0,2,0,15,13,east_west,GREEN,30,26
7,35,0,25,13.375,8,3,4,10,east_west,GREEN,30,49
7,35,1,7,9.6875,3,3,0,1,east_west,GREEN,30,24
7,35,2,15,14.09375,2,6,0,7,east_west,GREEN,30,47
7,35,3,15,12.75,3,0,7,5,east_west,GREEN,30,46
8,40,0,16,10.0625,9,5,0,2,east_west,GREEN,30,64
8,40,1,7,7.410714285714286,3,4,0,0,east_west,GREEN,30,29
8,40,2,11,9.823863636363637,2,9,0,0,east_west,GREEN,30,60
8,40,3,6,8.946078431372548,5,1,0,0,east_west,GREEN,30,61
9,45,0,26,9.215353260869566,17,9,0,0,east_west,GREEN,30,68
9,45,1,10,7.410714285714286,4,6,0,0,east_west,GREEN,30,29
9,45,2,12,8.541666666666668,2,10,0,0,east_west,GREEN,30,64
9,45,3,10,7.619047619047619,7,3,0,0,east_west,GREEN,30,67
10,50,0,30,8.259320175438596,18,12,0,0,east_west,GREEN,30,72
10,50,1,13,6.785714285714286,5,8,0,0,east_west,GREEN,30,30
10,50,2,14,8.541666666666668,4,10,0,0,east_west,GREEN,30,64
10,50,3,11,6.994047619047619,8,3,0,0,east_west,GREEN,30,71
11,55,0,33,7.594907407407407,20,13,0,0,east_west,GREEN,30,76
11,55,1,13,6.3392857142857135,5,8,0,0,east_west,GREEN,30,31
11,55,2,18,7.688492063492063,4,14,0,0,east_west,GREEN,30,68
11,55,3,17,6.532608695652174,13,4,0,0,east_west,GREEN,30,74
12,60,0,37,6.984717868338558,21,16,0,0,east_west,YELLOW,30,80
12,60,1,15,5.881696428571429,6,9,0,0,east_west,YELLOW,30,33
12,60,2,29,7.3898809523809526,11,18,0,0,east_west,YELLOW,30,70
12,60,3,19,6.134615384615385,14,5,0,0,east_west,YELLOW,30,77
13,65,0,45,6.984717868338558,22,20,1,2,north_south,GREEN,30,80
13,65,1,16,5.881696428571429,6,10,0,0,north_south,GREEN,30,33
13,65,2,37,7.3898809523809526,13,19,1,4,north_south,GREEN,30,70
13,65,3,23,6.134615384615385,15,7,0,1,north_south,GREEN,30,77
14,70,0,38,13.652778069007454,20,12,3,3,north_south,GREEN,30,100
14,70,1,2,13.715029761904763,0,1,1,0,north_south,GREEN,30,50
14,70,2,24,12.594622331691298,4,10,2,8,north_south,GREEN,30,90
14,70,3,11,10.817851252061779,8,1,1,1,north_south,GREEN,30,97
15,75,0,29,14.80353099965169,14,4,5,6,north_south,GREEN,30,120
15,75,1,2,13.24948489010989,0,0,2,0,north_south,GREEN,30,52
15,75,2,14,12.866643772893774,0,2,3,9,north_south,GREEN,30,104
15,75,3,10,10.335115940788912,1,0,5,4,north_south,GREEN,30,111
16,80,0,20,14.137727901783375,6,0,7,7,north_south,GREEN,30,136
16,80,1,3,12.912946428571429,0,0,2,1,north_south,GREEN,30,53
16,80,2,14,12.446097883597883,0,0,3,11,north_south,GREEN,30,110
16,80,3,14,10.136631513647643,0,0,8,6,north_south,GREEN,30,114
17,85,0,16,13.688421572042262,0,0,7,9,north_south,GREEN,30,145
17,85,1,5,12.465029761904761,0,0,3,2,north_south,GREEN,30,55
17,85,2,15,12.104440339354133,0,0,4,11,north_south,GREEN,30,115
17,85,3,19,9.682595182595183,0,0,10,9,north_south,GREEN,30,120
18,90,0,18,13.359822998700206,0,0,9,9,north_south,GREEN,30,150
18,90,1,6,12.465029761904761,0,0,3,3,north_south,GREEN,30,55
18,90,2,19,11.751302940531051,0,0,5,14,north_south,GREEN,30,121
18,90,3,27,9.55932580932581,0,0,15,12,north_south,GREEN,30,123
19,95,0,21,12.937797047224189,0,0,11,10,north_south,YELLOW,30,157
19,95,1,8,11.845748716153128,0,0,4,4,north_south,YELLOW,30,58
19,95,2,22,11.598314325730293,0,0,6,16,north_south,YELLOW,30,124
19,95,3,32,9.320426195426196,0,0,17,15,north_south,YELLOW,30,128
20,100,0,30,12.937797047224189,3,1,13,13,east_west,GREEN,30,157
20,100,1,10,11.845748716153128,0,2,4,4,east_west,GREEN,30,58
20,100,2,28,11.598314325730293,2,0,7,19,east_west,GREEN,30,124
20,100,3,43,9.320426195426196,2,2,20,19,east_west,GREEN,30,128
21,105,0,22,14.772189755808707,6,4,6,6,east_west,GREEN,30,177
21,105,1,5,13.101498175027587,1,4,0,0,east_west,GREEN,30,67
21,105,2,14,13.340153803456866,3,0,1,10,east_west,GREEN,30,144
21,105,3,29,11.287001287001289,2,4,13,10,east_west,GREEN,30,148
22,110,0,18,13.689116412928184,9,9,0,0,east_west,GREEN,30,193
22,110,1,7,13.101498175027587,3,4,0,0,east_west,GREEN,30,67
22,110,2,4,12.56763514718526,4,0,0,0,east_west,GREEN,30,157
22,110,3,15,11.097646559603081,4,6,3,2,east_west,GREEN,30,168
23,115,0,23,13.175301401107852,11,12,0,0,east_west,GREEN,30,199
23,115,1,9,12.952688651218063,3,6,0,0,east_west,GREEN,30,68
23,115,2,5,12.35269107643057,4,1,0,0,east_west,GREEN,30,159
23,115,3,15,10.584770394644345,5,10,0,0,east_west,GREEN,30,177
24,120,0,31,12.949818309320413,16,15,0,0,east_west,GREEN,30,202
24,120,1,9,12.222413491595077,3,6,0,0,east_west,GREEN,30,71
24,120,2,8,12.003845064109868,5,3,0,0,east_west,GREEN,30,163
24,120,3,20,10.307527421983583,7,13,0,0,east_west,GREEN,30,181
25,125,0,35,12.475188022423046,18,17,0,0,east_west,GREEN,30,209
25,125,1,10,11.983283056812468,3,7,0,0,east_west,GREEN,30,73
25,125,2,9,11.937166543483979,5,4,0,0,east_west,GREEN,30,164
25,125,3,22,10.104049804521503,8,14,0,0,east_west,GREEN,30,184
26,130,0,37,12.291220204526658,18,19,0,0,east_west,YELLOW,30,212
26,130,1,13,11.749766573295986,3,10,0,0,east_west,YELLOW,30,74
26,130,2,12,11.813811280326084,7,5,0,0,east_west,YELLOW,30,166
26,130,3,27,9.9736895986896,10,17,0,0,east_west,YELLOW,30,186
27,135,0,42,12.291220204526658,20,20,1,1,north_south,GREEN,30,212
27,135,1,20,11.749766573295986,7,12,1,0,north_south,GREEN,30,74
27,135,2,20,11.813811280326084,8,6,4,2,north_south,GREEN,30,166
27,135,3,33,9.9736895986896,10,18,2,3,north_south,GREEN,30,186
28,140,0,31,14.000178062678064,13,11,4,3,north_south,GREEN,30,232
28,140,1,12,13.172751322751324,0,4,4,4,north_south,GREEN,30,91
28,140,2,14,12.788819465418303,0,0,8,6,north_south,GREEN,30,180
28,140,3,25,12.17511283043198,3,10,4,8,north_south,GREEN,30,206
29,145,0,23,14.434082336616635,5,5,6,7,north_south,GREEN,30,252
29,145,1,9,12.61815156169995,0,0,5,4,north_south,GREEN,30,97
29,145,2,17,12.57859219269103,0,0,11,6,north_south,GREEN,30,184
29,145,3,17,12.315412900939217,0,0,7,10,north_south,GREEN,30,220
30,150,0,21,13.936257816272457,0,0,12,9,north_south,GREEN,30,266
30,150,1,9,12.305110837438423,0,0,5,4,north_south,GREEN,30,100
30,150,2,21,12.482847511839967,0,0,14,7,north_south,GREEN,30,186
30,150,3,20,12.186026936026938,0,0,10,10,north_south,GREEN,30,223
31,155,0,26,13.707669018493915,0,0,15,11,north_south,GREEN,30,271
31,155,1,11,12.305110837438423,0,0,6,5,north_south,GREEN,30,100
31,155,2,22,12.213371104255657,0,0,15,7,north_south,GREEN,30,192
31,155,3,24,12.068963443963446,0,0,10,14,north_south,GREEN,30,226
32,160,0,29,13.578652814025157,0,0,15,14,north_south,GREEN,30,274
32,160,1,11,12.100108225108226,0,0,6,5,north_south,GREEN,30,102
32,160,2,23,12.094159958258796,0,0,15,8,north_south,GREEN,30,195
32,160,3,30,11.978929924242426,0,0,15,15,north_south,GREEN,30,228
33,165,0,34,13.492526990553307,0,0,19,15,north_south,YELLOW,30,276
33,165,1,11,11.798387096774192,0,0,6,5,north_south,YELLOW,30,105
33,165,2,26,11.913413621262459,0,0,16,10,north_south,YELLOW,30,200
33,165,3,35,11.774459044490467,0,0,16,19,north_south,YELLOW,30,233
34,170,0,44,13.492526990553307,5,2,22,15,east_west,GREEN,30,276
34,170,1,12,11.798387096774192,0,0,7,5,east_west,GREEN,30,105
34,170,2,29,11.913413621262459,0,0,19,10,east_west,GREEN,30,200
34,170,3,46,11.774459044490467,4,2,20,20,east_west,GREEN,30,233
35,175,0,34,14.888760964912281,8,4,13,9,east_west,GREEN,30,296
35,175,1,1,14.042434715821813,0,1,0,0,east_west,GREEN,30,117
35,175,2,16,13.572658355795149,3,1,12,0,east_west,GREEN,30,220
35,175,3,38,13.320414391227064,9,6,13,10,east_west,GREEN,30,253
36,180,0,28,14.946709538485855,11,5,7,5,east_west,GREEN,30,316
36,180,1,2,13.659411941494689,0,2,0,0,east_west,GREEN,30,119
36,180,2,10,13.590232683982684,3,1,6,0,east_west,GREEN,30,232
36,180,3,20,13.360228905260328,10,6,3,1,east_west,GREEN,30,273
37,185,0,21,14.349507916131792,15,6,0,0,east_west,GREEN,30,334
37,185,1,6,13.374903993855606,3,3,0,0,east_west,GREEN,30,121
37,185,2,10,13.332459052141889,5,5,0,0,east_west,GREEN,30,239
37,185,3,21,13.108802478833901,11,10,0,0,east_west,GREEN,30,280
38,190,0,25,14.095485078976512,19,6,0,0,east_west,GREEN,30,340
38,190,1,8,12.865819664206759,5,3,0,0,east_west,GREEN,30,125
38,190,2,15,13.089962958867758,8,7,0,0,east_west,GREEN,30,242
38,190,3,26,12.847031013017975,16,10,0,0,east_west,GREEN,30,285
39,195,0,30,14.01653423331055,20,10,0,0,east_west,GREEN,30,342
39,195,1,12,12.734053282440378,6,6,0,0,east_west,GREEN,30,126
39,195,2,16,12.913780978493094,8,8,0,0,east_west,GREEN,30,244
39,195,3,35,12.701514065922998,24,11,0,0,east_west,GREEN,30,288
40,200,0,37,13.863823586114608,22,15,0,0,east_west,YELLOW,30,346
40,200,1,15,12.734053282440378,7,8,0,0,east_west,YELLOW,30,126
40,200,2,21,12.749151914864306,11,10,0,0,east_west,YELLOW,30,246
40,200,3,37,12.517763814372133,24,13,0,0,east_west,YELLOW,30,292
41,205,0,52,13.863823586114608,24,17,6,5,north_south,GREEN,30,346
41,205,1,18,12.734053282440378,7,8,0,3,north_south,GREEN,30,126
41,205,2,29,12.749151914864306,12,10,5,2,north_south,GREEN,30,246
41,205,3,43,12.517763814372133,24,14,2,3,north_south,GREEN,30,292
42,210,0,40,14.752854988149105,14,9,10,7,north_south,GREEN,30,366
42,210,1,5,13.370158050390607,0,0,1,4,north_south,GREEN,30,142
42,210,2,15,13.752682568482987,4,0,8,3,north_south,GREEN,30,266
42,210,3,31,14.217072295887998,16,7,3,5,north_south,GREEN,30,312
43,215,0,32,14.857034875206903,8,2,13,9,north_south,GREEN,30,386
43,215,1,7,13.212857744107744,0,0,1,6,north_south,GREEN,30,144
43,215,2,18,13.73915442995485,0,0,11,7,north_south,GREEN,30,270
43,215,3,17,14.371383587615655,7,0,4,6,north_south,GREEN,30,332
44,220,0,34,14.521937621202326,3,0,18,13,north_south,GREEN,30,401
44,220,1,11,13.12763047138047,0,0,2,9,north_south,GREEN,30,145
44,220,2,25,13.640083979857001,0,0,13,12,north_south,GREEN,30,273
44,220,3,12,14.377098059924956,0,0,4,8,north_south,GREEN,30,340
45,225,0,38,14.155325067089771,0,0,21,17,north_south,GREEN,30,413
45,225,1,13,13.12763047138047,0,0,3,10,north_south,GREEN,30,145
45,225,2,27,13.608845549645968,0,0,14,13,north_south,GREEN,30,274
45,225,3,21,14.087519387972689,0,0,9,12,north_south,GREEN,30,347
46,230,0,44,13.9710116952764,0,0,24,20,north_south,GREEN,30,419
46,230,1,16,13.062843886014617,0,0,5,11,north_south,GREEN,30,146
46,230,2,33,13.479896864359254,0,0,18,15,north_south,GREEN,30,278
46,230,3,27,13.962946842784609,0,0,14,13,north_south,GREEN,30,350
47,235,0,47,13.767817943971139,0,0,26,21,north_south,YELLOW,30,426
47,235,1,17,13.062843886014617,0,0,5,12,north_south,YELLOW,30,146
47,235,2,33,13.385411328027871,0,0,18,15,north_south,YELLOW,30,281
47,235,3,30,13.824835269138807,0,0,16,14,north_south,YELLOW,30,354
48,240,0,54,13.767817943971139,1,2,27,24,east_west,GREEN,30,426
48,240,1,23,13.062843886014617,3,2,6,12,east_west,GREEN,30,146
48,240,2,42,13.385411328027871,2,1,23,16,east_west,GREEN,30,281
48,240,3,41,13.824835269138807,3,3,20,15,east_west,GREEN,30,354
49,245,0,44,14.956895174253962,6,5,18,15,east_west,GREEN,30,446
49,245,1,10,14.347101187713779,5,3,0,2,east_west,GREEN,30,162
49,245,2,30,14.50325142936333,3,3,14,10,east_west,GREEN,30,301
49,245,3,33,14.540963539335344,9,6,12,6,east_west,GREEN,30,374
50,250,0,38,15.50690027128876,10,6,12,10,east_west,GREEN,30,466
